HTS 6D,naics
291521,325199
291522,325199
291523,325199
291524,325199
291529,325199
291531,325199
291532,325199
291533,325199
291534,325199
291535,325199
291536,325199
291539,325199
291540,325199
291550,325199
291560,325199
291570,325199
291590,325199
,325411
,325412
291611,325199
291612,325199
291613,325199
291614,325199
291615,325199
291616,325199
291619,325199
291620,325199
291631,325199
291632,325199
291634,325199
291635,325199
291636,325199
291639,325199
,325411
,325412
291711,325199
291712,325199
291713,325199
291714,325199
291719,325199
291720,325199
291731,325199
291732,325199
291733,325199
291734,325199
291735,325199
291736,325199
291737,325199
291739,325192
,325194
,325199
291800,325199
291811,325199
291812,325199
291813,325199
291814,325199
291815,325199
291816,325199
291817,325199
291818,325199
291819,325199
291821,325192
,325199
,325411
291822,325411
,325412
291823,325192
,325194
,325411
291829,325199
291830,325199
291890,325199
,325411
291891,325199
291899,325199
,325411
291900,325199
291910,325199
291990,325199
292010,325199
292011,325199
292019,325199
292021,325199
292022,325199
292023,325199
292024,325199
292029,325199
292030,325199
292090,325199
292111,325199
292112,325199
292113,325199
292114,325199
292119,325199
292121,325199
292122,325199
292129,325199
292130,325199
292141,325192
,325194
292142,325130
,325132
,325192
,325194
,325199
292143,325192
,325194
292144,325192
,325194
292145,325192
,325194
292146,325411
,325412
292149,325130
,325132
,325192
,325194
,325411
,325412
292151,325192
,325194
292159,325110
,325192
,325194
292211,325199
292212,325199
292213,325199
292214,325411
,325412
292215,325199
292216,325199
292217,325199
292218,325199
292219,325199
,325411
292221,325192
,325194
292222,325192
292229,325130
,325132
,325192
,325194
,325411
292230,325192
292231,325192
,325412
292239,325192
,325194
292241,325411
292242,325199
292243,325199
292244,325411
,325412
292249,325199
,325411
,325412
292250,325192
,325199
,325411
,325412
292310,325199
292320,325199
292330,325199
292340,325199
292390,325199
292410,325199
292411,325199
,325412
292412,325199
292419,325199
292421,325199
292422,325199
292423,325199
292424,325199
,325412
292425,325199
292429,325130
,325132
,325199
,325411
,325412
292511,325199
292512,325199
,325412
292519,325199
292520,325199
,325411
292521,325199
292529,325199
,325411
,325412
292610,325199
292620,325199
292630,325199
292640,325199
292690,325199
292700,325130
,325132
,325199
292800,325199
,325411
,325412
292910,325199
292990,325199
293010,325199
293020,325199
293030,325199
293040,325199
293050,325199
293060,325199
293070,325199
293080,325199
293090,325199
,325411
293100,325199
,325411
293110,325199
293120,325199
293131,325199
293132,325199
293133,325199
293134,325199
293135,325199
293136,325199
293137,325199
293138,325199
293139,325199
293141,325199
293142,325199
293143,325199
293144,325199
293145,325199
293146,325199
293147,325199
293148,325199
293149,325199
293151,325199
293152,325199
293153,325199
293154,325199
293159,325199
293190,325199
,325412
293211,325199
293212,325199
293213,325199
293214,325199
293219,325199
293220,325199
,325411
,325412
293221,325199
293229,325199
,325411
293291,325199
293292,325199
293293,325199
